,player_name,shot_outcome_name,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
68,Harry Kane,Goal,Nick Pope,85.5625,185.4931641,75.71875,149.2456055,65.875,96.59179688,52.75,96.38671875,69.15625,145.8618164,79,182.109375,59.3125,96.48925781,79,31.171875,79,21.328125,85.5625,1.743164063,75.71875,73.77685547,33.0625,79.67285156,56.03125,30.81298828,101.96875,28.24951172,26.5,82.8515625,108.53125,77.57080078
69,Pierre-Emerick Aubameyang,Goal,Neil Leonard Dula Etheridge,20.875,142.8574219,120.3125,90.66113281,71.9375,63.03027344,98.8125,74.20019531,63.875,111.2792969,23.5625,134.8369141,82.6875,63.19824219,104.1875,36.65917969,106.875,34.01367188,131.0625,18.26660156,128.375,93.47460938,112.25,66.34765625,96.125,33.84570313,58.5,57.4453125,114.9375,69.07714844,23.5625,129.4619141
70,Xherdan Shaqiri,Saved,Łukasz Fabiański,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Roberto Firmino Barbosa de Oliveira,Goal,Heurelho da Silva Gomes,50.5,317.1484375,79.25,260.0976563,182.75,186.9648438,223,204.84375,269,240.0625,177,319.125,211.5,187.4140625,257.5,90.3828125,257.5,84.6328125,286.25,27.58203125,205.75,204.5742188,182.75,117.9648438,223,78.34375,297.75,96.76171875,246,136.203125,280.5,194.2421875
72,Marko Arnautović,Goal,Asmir Begović,55.15625,149.6118164,36.59375,118.3842773,70.625,94.16601563,83,88.171875,92.28125,137.8168945,135.59375,172.5249023,76.8125,91.16894531,42.78125,50.41845703,39.6875,47.27636719,18.03125,16.00048828,33.5,93.5859375,36.59375,78.16552734,33.5,53.3671875,52.0625,50.56347656,55.15625,84.64306641,27.3125,99.67675781
73,Luka Milivojević,Goal,Ben Hamer,108,212.6875,116,156.8125,124,108.9375,152,101.375,184,149.875,156,193.4375,140,105.1875,128,41,124,36.9375,112,0.75,92,116.4375,104,72.625,108,44.6875,148,37.3125,148,49.3125,164,61.5625
74,Pierre-Emerick Aubameyang,Goal,Mathew Ryan,47.5,111.1640625,45.25,95.37890625,76.75,75.62109375,92.5,82.6171875,67.75,88.98046875,56.5,118.0546875,85.75,80.26171875,67.75,46.23046875,61,41.625,45.25,25.62890625,25,95.0625,47.5,66.1640625,58.75,46.08984375,76.75,48.62109375,70,82.265625,61,77.625
75,Glenn Murray,Goal,Bernd Leno,27.0625,128.7197266,35.40625,101.0375977,66,79.265625,77.125,82.22070313,82.6875,115.6826172,104.9375,143.8427734,71.5625,79.35253906,79.90625,65.57666016,77.125,62.75195313,79.90625,46.10791016,63.21875,51.40966797,74.34375,57.14599609,71.5625,65.44628906,79.90625,62.79541016,74.34375,59.92724609,68.78125,51.49658203
76,Wilfried Zaha,Goal,Łukasz Fabiański,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Gylfi Þór Sigurðsson,Post,Marcus Bettinelli,263.25,343.0507813,153.5625,253.5869141,226.6875,174.2919922,285.1875,189.8310547,336.375,249.1308594,73.125,332.7675781,255.9375,196.6865234,329.0625,88.14160156,336.375,80.94335938,409.5,52.8359375,212.0625,79.00097656,234,79.34375,234,79.34375,380.25,103.5664063,380.25,169.3789063,234,145.15625
