,under_pressure,shot_outcome_name,distance_to_goal,shot_angle,gk_name,gk_engage
72,0,Goal,8.94427191,63.43494882,Francisco Guillermo Ochoa Magaña,0.75
73,0,Off T,9.899494937,45,Rui Pedro dos Santos Patrício,0.505076272
74,0,Goal,17.49285568,30.96375653,Jaime Manuel Penedo Cano,0.857492926
75,0,Saved,17.4642492,23.62937773,Thibaut Courtois,0.333879334
76,0,Off T,16.55294536,64.98310652,David Ospina Ramírez,0.756962813
77,0,Off T,20,53.13010235,Yann Sommer,0.832165849
78,0,Wayward,15.8113883,71.56505118,Danijel Subašić,0.740270221
79,0,Saved,6.08276253,9.462322208,Jordan Pickford,0.328797975
80,0,Goal,9.219544457,49.39870535,Jordan Pickford,0.920357987
81,1,Off T,19.31320792,68.74949449,Hyun-Woo Cho,0.884783489
82,1,Saved,17.88854382,26.56505118,David Ospina Ramírez,0.450693909
83,0,Saved,8.544003745,20.55604522,Eiji Kawashima,0.852072413
84,0,Off T,15.62049935,39.80557109,David Ospina Ramírez,0.781444648
85,0,Wayward,16.1245155,60.2551187,David Ospina Ramírez,0.638507876
86,0,Saved,12.08304597,24.44395478,Eiji Kawashima,0.864045915
87,0,Saved,10.44030651,73.30075577,David Ospina Ramírez,0.789843789
88,1,Off T,20.24845673,57.09475708,Hugo Lloris,0.931822238
89,0,Saved,14.31782106,65.22485943,Thibaut Courtois,0.468521286
90,0,Goal,7.071067812,8.130102354,Jordan Pickford,0.721110255
91,0,Goal,9.433981132,32.00538321,Jordan Pickford,0.678729812
92,0,Saved,14,0,Manuel Neuer,0.285714286
93,1,Saved,23.02172887,55.61965528,Manuel Neuer,0.903870086
94,0,Saved,9.055385138,6.340191746,Vladimir Stojković,0.780868809
95,0,Wayward,10.04987562,5.710593137,Neil Leonard Dula Etheridge,1
96,0,Goal,7.017834424,32.78428087,Angus Gunn,0.841198082
97,0,Off T,4.472135955,63.43494882,Ederson Santana de Moraes,0.5
98,1,Saved,15.23154621,66.80140949,Ederson Santana de Moraes,0.91444349
99,0,Goal,7.810249676,39.80557109,Kepa Arrizabalaga Revuelta,0.724285968
100,0,Saved,13.15294644,8.746162263,Ederson Santana de Moraes,0.462463871
101,0,Saved,11.3137085,45,Kepa Arrizabalaga Revuelta,0.814900301
102,0,Saved,17.02938637,40.23635831,Marcus Bettinelli,0.378198999
103,0,Saved,17.4642492,76.75948008,Marcus Bettinelli,0.826309195
104,0,Wayward,8.602325267,54.46232221,Asmir Begović,0.744348073
