,duration,play_pattern_name,under_pressure,shot_outcome_name,shot_first_time,distance_to_goal,shot_angle,gk_name,gk_engage,assist_type,player_name
13,0.453,From Throw In,0,Goal,1,6.0,0.0,Jaime Manuel Penedo Cano,0.5270462766947299,Pass,Fakhreddine Ben Youssef
14,0.453,From Counter,0,Saved,1,13.038404810405298,32.47119229084849,Jaime Manuel Penedo Cano,0.3834824944236852,Other,Fakhreddine Ben Youssef
15,0.52,From Throw In,1,Saved,0,17.08800749063506,69.44395478041653,Mathew Ryan,0.7071067811865476,Pass,Kylian Mbappé Lottin
16,0.16,Regular Play,0,Saved,0,10.295630140987,29.054604099077146,Igor Akinfeev,0.7585985091688537,Pass,Rodrigo Bentancur Colmán
17,0.533,From Corner,1,Goal,1,1.4142135623730951,45.0,Igor Akinfeev,0.7071067811865475,Other,Edinson Roberto Cavani Gómez
18,0.32,From Counter,1,Saved,0,10.63014581273465,41.18592516570965,Francisco Guillermo Ochoa Magaña,0.6023552593005889,Pass,Neymar da Silva Santos Junior
19,0.973,Regular Play,0,Off T,0,21.02379604162864,64.6538240580533,Alisson Ramsés Becker,0.8744746321952062,Other,Hirving Rodrigo Lozano Bahena
20,0.6,Regular Play,1,Blocked,0,19.4164878389476,55.4914770123316,Danijel Subašić,0.7427813527082074,Pass,Denis Cheryshev
21,0.52,From Free Kick,0,Off T,0,12.083045973594572,65.55604521958347,Danijel Subašić,0.5967950934463552,Pass,Denis Cheryshev
22,0.32,Regular Play,0,Blocked,1,18.027756377319946,70.55996517182382,Igor Akinfeev,0.8770580193070292,Other,Šime Vrsaljko
23,0.933,From Counter,0,Off T,0,15.231546211727817,66.80140948635182,Pedro David Gallese Quiróz,0.5293131528623707,Other,Antoine Griezmann
24,0.4,Regular Play,0,Saved,1,8.246211251235321,14.036243467926479,Pedro David Gallese Quiróz,0.6183469424008422,Pass,Kylian Mbappé Lottin
25,0.84,Regular Play,1,Wayward,0,6.082762530298219,9.462322208025617,Eiji Kawashima,0.6575959492214292,Cross,Romelu Lukaku Menama
26,0.973,From Counter,0,Goal,1,17.804493814764857,51.84277341263094,Thibaut Courtois,0.732309772243727,Pass,Genki Haraguchi
27,0.24,Regular Play,0,Blocked,0,10.0,36.86989764584402,Eiji Kawashima,0.7280109889280518,Cross,Romelu Lukaku Menama
28,0.16,Regular Play,0,Blocked,1,12.206555615733702,55.00797980144134,Thibaut Courtois,0.40961596025952024,Pass,Keisuke Honda
29,0.28,Regular Play,0,Saved,0,12.727922061357855,45.0,Thibaut Courtois,0.3928371006591931,Pass,Michael Amir Murillo Bermudez
30,0.12,Regular Play,1,Blocked,0,5.0,53.13010235415598,Danijel Subašić,0.282842712474619,Pass,Lionel Andrés Messi Cuccittini
31,0.693,Regular Play,0,Off T,1,10.295630140987,60.94539590092286,Wilfredo Daniel Caballero,0.7397092748646287,Cross,Mario Mandžukić
